material_id,formula,crystal_system,battery_family,is_stable,energy_above_hull,band_gap,india_feasibility_score,india_decision_label,india_rule_reason,predicted_stable_probability,predicted_is_stable,predicted_energy_above_hull,final_recommendation_score,parsed_elements,blocked_elements,predicted_energy_above_hull_clipped,family_rank,shortlist_rule_type,shortlist_rejection_reason,shortlist_score
mp-1101478,NaLi5Fe2P2(CO7)2,Monoclinic,LFP-family,False,0.038391403,3.6574,98,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.0054010157,False,0.059226893,39.52,C;Fe;Li;Na;O;P,,0.059226893,1,Benchmark family exception,Included in final shortlist,42.7
mp-849564,Li5Fe4(P2O7)4,Triclinic,LFP-family,False,0.060935725,1.3356,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.0027835257,False,0.05171679,37.77,Fe;Li;O;P,,0.05171679,1,Benchmark family exception,Included in final shortlist,42.68
mp-831266,LiFeP2O7,Triclinic,LFP-family,False,0.092124468,1.2947,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.0026896438,False,0.05171679,37.76,Fe;Li;O;P,,0.05171679,1,Benchmark family exception,Included in final shortlist,42.68
mp-758962,Li3Fe2(PO4)3,Monoclinic,LFP-family,False,0.060530478,2.2006,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.01124911,False,0.05367283,38.27,Fe;Li;O;P,,0.05367283,1,Benchmark family exception,Included in final shortlist,42.67
mp-757097,LiFePO4,Orthorhombic,LFP-family,False,0.013923373,3.7339,98,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.005442764,False,0.05940158,39.53,Fe;Li;O;P,,0.05940158,1,Benchmark family exception,Included in final shortlist,42.66
mp-765594,LiFePO4,Orthorhombic,LFP-family,False,0.011425756,3.7144,98,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.005442764,False,0.05940158,39.53,Fe;Li;O;P,,0.05940158,1,Benchmark family exception,Included in final shortlist,42.66
mp-757255,LiFePO4,Monoclinic,LFP-family,False,0.060916877,3.8361,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.0057928627,False,0.052656725,37.95,Fe;Li;O;P,,0.052656725,1,Benchmark family exception,Included in final shortlist,42.63
mp-753528,Li6FeNiP2(CO7)2,Monoclinic,LFP-family,False,0.041337989,3.1756,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.005262325,False,0.05254819,37.92,C;Fe;Li;Ni;O;P,,0.05254819,1,Benchmark family exception,Included in final shortlist,42.63
mp-766564,Li12Fe3NiP4(CO7)4,Monoclinic,LFP-family,False,0.046225143,3.159,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.005101442,False,0.05254819,37.91,C;Fe;Li;Ni;O;P,,0.05254819,1,Benchmark family exception,Included in final shortlist,42.62
mp-758108,LiFe2P3O11,Monoclinic,LFP-family,False,0.051268041,1.505,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.0088308,False,0.053431526,38.13,Fe;Li;O;P,,0.053431526,1,Benchmark family exception,Included in final shortlist,42.61
mp-771770,Li2Fe3(PO4)3,Monoclinic,LFP-family,False,0.066341354,1.483,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.0088308,False,0.053431526,38.13,Fe;Li;O;P,,0.053431526,1,Benchmark family exception,Included in final shortlist,42.61
mp-766539,Li12FeNi3P4(CO7)4,Monoclinic,LFP-family,False,0.043298866,3.0772,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.004906048,False,0.05254819,37.89,C;Fe;Li;Ni;O;P,,0.05254819,1,Benchmark family exception,Included in final shortlist,42.61
mp-780200,LiFePH2O5,Monoclinic,LFP-family,False,0.075831136,3.6933,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.0061740666,False,0.05286642,37.97,Fe;H;Li;O;P,,0.05286642,1,Benchmark family exception,Included in final shortlist,42.6
mp-754078,LiFe2(PO4)2,Monoclinic,LFP-family,False,0.051402401,1.6166,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.0082867965,False,0.053431526,38.1,Fe;Li;O;P,,0.053431526,1,Benchmark family exception,Included in final shortlist,42.59
mp-1223005,Li3FeNi2(PO4)3,Monoclinic,LFP-family,False,0.003605275,3.4838,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.0034457336,False,0.0524388,37.81,Fe;Li;Ni;O;P,,0.0524388,1,Benchmark family exception,Included in final shortlist,42.57
mp-1177159,Li5Fe4(P2O7)4,Triclinic,LFP-family,False,0.064639883,1.1907,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.0019447097,False,0.052121803,37.72,Fe;Li;O;P,,0.052121803,1,Benchmark family exception,Included in final shortlist,42.56
mp-766624,Li3FePCO7,Monoclinic,LFP-family,False,0.061014193,2.3987,96,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.009170992,False,0.057423867,38.95,C;Fe;Li;O;P,,0.057423867,1,Benchmark family exception,Included in final shortlist,42.53
mp-758205,Li2Fe3P9O28,Triclinic,LFP-family,False,0.051594544,2.6563,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.011549693,False,0.05452936,38.29,Fe;Li;O;P,,0.05452936,1,Benchmark family exception,Included in final shortlist,42.51
mp-766022,Li4FeNi3(PO4)4,Monoclinic,LFP-family,False,0.003357259,3.0231,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.00565961,False,0.053524677,37.94,Fe;Li;Ni;O;P,,0.053524677,1,Benchmark family exception,Included in final shortlist,42.45
mp-766696,Li3FePCO7,Monoclinic,LFP-family,False,0.062528868,1.9357,96,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.00906508,False,0.05792675,38.94,C;Fe;Li;O;P,,0.05792675,1,Benchmark family exception,Included in final shortlist,42.42
mp-759012,Li2Fe(PO3)4,Monoclinic,LFP-family,False,0.084622662,3.7503,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.004800734,False,0.053840153,37.89,Fe;Li;O;P,,0.053840153,1,Benchmark family exception,Included in final shortlist,42.35
mp-765634,LiFePO4,Monoclinic,LFP-family,False,0.084693274,3.7244,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.004800734,False,0.053840153,37.89,Fe;Li;O;P,,0.053840153,1,Benchmark family exception,Included in final shortlist,42.35
mp-540431,Li2Fe5(PO4)4,Triclinic,LFP-family,False,0.038336935,3.5628,96,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.006434221,False,0.05776151,38.79,Fe;Li;O;P,,0.05776151,1,Benchmark family exception,Included in final shortlist,42.34
mp-774251,LiFePO4,Triclinic,LFP-family,False,0.045523612,3.4587,96,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.0062096934,False,0.05776151,38.77,Fe;Li;O;P,,0.05776151,1,Benchmark family exception,Included in final shortlist,42.33
mp-1662030,LiFePO4,Triclinic,LFP-family,False,0.041040111,3.329,96,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.0059316116,False,0.05776151,38.76,Fe;Li;O;P,,0.05776151,1,Benchmark family exception,Included in final shortlist,42.31
mp-743761,LiFe3SiPO8,Monoclinic,LFP-family,False,0.125163515,2.5673,95,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.007508545,False,0.056441244,38.45,Fe;Li;O;P;Si,,0.056441244,1,Benchmark family exception,Included in final shortlist,42.3
mp-775193,Li7Fe3Ni(PO4)6,Trigonal,LFP-family,False,0.051904183,2.4261,90,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.020342851,False,0.050610945,37.22,Fe;Li;Ni;O;P,,0.050610945,1,Benchmark family exception,Included in final shortlist,42.29
mp-758514,Li3Fe3(PO4)4,Triclinic,LFP-family,False,0.099597611,1.7429,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.013256249,False,0.056048937,38.4,Fe;Li;O;P,,0.056048937,1,Benchmark family exception,Included in final shortlist,42.29
mp-1177796,Li3Fe3(PO4)4,Triclinic,LFP-family,False,0.058851267,2.1425,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.014307135,False,0.056296177,38.46,Fe;Li;O;P,,0.056296177,1,Benchmark family exception,Included in final shortlist,42.28
mp-859124,Li5Fe(P2O7)2,Triclinic,LFP-family,False,0.079750514,2.037,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.014020498,False,0.056296177,38.44,Fe;Li;O;P,,0.056296177,1,Benchmark family exception,Included in final shortlist,42.27
mp-705404,Li4Fe3P4O15,Orthorhombic,LFP-family,False,0.046330958,3.7823,96,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.006915991,False,0.058218144,38.81,Fe;Li;O;P,,0.058218144,1,Benchmark family exception,Included in final shortlist,42.27
mp-753018,LiFeP2O7,Triclinic,LFP-family,False,0.094614228,1.949,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.013578157,False,0.056296177,38.41,Fe;Li;O;P,,0.056296177,1,Benchmark family exception,Included in final shortlist,42.25
mp-758941,Li2Fe(PO3)4,Tetragonal,LFP-family,False,0.051557452,2.2976,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.021515438,False,0.05835331,38.89,Fe;Li;O;P,,0.05835331,1,Benchmark family exception,Included in final shortlist,42.2
mp-755283,Li3FePCO7,Orthorhombic,LFP-family,False,0.073290421,3.9592,96,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.009977747,False,0.059233826,39.0,C;Fe;Li;O;P,,0.059233826,1,Benchmark family exception,Included in final shortlist,42.2
mp-753321,LiFePO4,Orthorhombic,LFP-family,False,0.074231581,3.8149,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.013385208,False,0.056764774,38.4,Fe;Li;O;P,,0.056764774,1,Benchmark family exception,Included in final shortlist,42.15
mp-504385,Li3Fe2(PO4)3,Monoclinic,LFP-family,False,0.042780072,2.5408,96,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.009239217,False,0.059350375,38.95,Fe;Li;O;P,,0.059350375,1,Benchmark family exception,Included in final shortlist,42.15
mp-26613,LiFeP2O7,Monoclinic,LFP-family,False,0.036414228,2.2934,96,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.011117881,False,0.059795484,39.07,Fe;Li;O;P,,0.059795484,1,Benchmark family exception,Included in final shortlist,42.14
