pca_component_count,kernel_name,entanglement_strength,angle_scale,angle_scale_value,c_value,quantum_state_size,train_validation_rows,cross_validation_splits,cv_accuracy,cv_stable_precision,cv_stable_recall,cv_stable_f1
6,entangled_pi_over_2,1.570796,two_pi,6.283185,0.1,64,800,4,0.8375,0.8203,0.87,0.8432
6,entangled_pi_over_2,1.570796,two_pi,6.283185,0.5,64,800,4,0.8425,0.8231,0.8775,0.8484
6,entangled_pi_over_2,1.570796,two_pi,6.283185,1.0,64,800,4,0.8412,0.8248,0.8725,0.8467
6,entangled_pi_over_2,1.570796,two_pi,6.283185,2.0,64,800,4,0.8425,0.833,0.865,0.8468
6,entangled_pi_over_2,1.570796,two_pi,6.283185,5.0,64,800,4,0.8512,0.851,0.86,0.8533
6,entangled_pi_over_2,1.570796,two_pi,6.283185,10.0,64,800,4,0.8462,0.8547,0.8425,0.8459
6,entangled_pi,3.141593,two_pi,6.283185,0.1,64,800,4,0.8325,0.8268,0.8475,0.8355
6,entangled_pi,3.141593,two_pi,6.283185,0.5,64,800,4,0.8375,0.8214,0.8675,0.8428
6,entangled_pi,3.141593,two_pi,6.283185,1.0,64,800,4,0.8375,0.827,0.86,0.8417
6,entangled_pi,3.141593,two_pi,6.283185,2.0,64,800,4,0.8425,0.8394,0.855,0.8452
6,entangled_pi,3.141593,two_pi,6.283185,5.0,64,800,4,0.85,0.8507,0.8575,0.8519
6,entangled_pi,3.141593,two_pi,6.283185,10.0,64,800,4,0.8512,0.8592,0.8475,0.8508
8,product,0.0,pi_over_2,1.570796,0.1,256,800,4,0.8213,0.8294,0.8125,0.8203
8,product,0.0,pi_over_2,1.570796,0.5,256,800,4,0.845,0.8289,0.875,0.8501
8,product,0.0,pi_over_2,1.570796,1.0,256,800,4,0.8475,0.8326,0.875,0.8521
8,product,0.0,pi_over_2,1.570796,2.0,256,800,4,0.8512,0.8457,0.8625,0.8532
8,product,0.0,pi_over_2,1.570796,5.0,256,800,4,0.8512,0.8512,0.855,0.8522
8,product,0.0,pi_over_2,1.570796,10.0,256,800,4,0.8538,0.8555,0.855,0.8544
8,entangled_pi_over_2,1.570796,pi_over_2,1.570796,0.1,256,800,4,0.8238,0.834,0.8125,0.8225
8,entangled_pi_over_2,1.570796,pi_over_2,1.570796,0.5,256,800,4,0.8462,0.8306,0.875,0.8511
8,entangled_pi_over_2,1.570796,pi_over_2,1.570796,1.0,256,800,4,0.8488,0.838,0.87,0.8525
8,entangled_pi_over_2,1.570796,pi_over_2,1.570796,2.0,256,800,4,0.8512,0.8457,0.8625,0.8532
8,entangled_pi_over_2,1.570796,pi_over_2,1.570796,5.0,256,800,4,0.85,0.8487,0.855,0.8511
8,entangled_pi_over_2,1.570796,pi_over_2,1.570796,10.0,256,800,4,0.8538,0.8558,0.855,0.8544
8,entangled_pi,3.141593,pi_over_2,1.570796,0.1,256,800,4,0.8262,0.8355,0.815,0.8248
8,entangled_pi,3.141593,pi_over_2,1.570796,0.5,256,800,4,0.8525,0.842,0.8725,0.8558
8,entangled_pi,3.141593,pi_over_2,1.570796,1.0,256,800,4,0.8512,0.843,0.8675,0.8541
8,entangled_pi,3.141593,pi_over_2,1.570796,2.0,256,800,4,0.8525,0.8461,0.865,0.8547
8,entangled_pi,3.141593,pi_over_2,1.570796,5.0,256,800,4,0.8538,0.856,0.855,0.8544
8,entangled_pi,3.141593,pi_over_2,1.570796,10.0,256,800,4,0.8538,0.8558,0.855,0.8544
8,product,0.0,pi,3.141593,0.1,256,800,4,0.8562,0.8562,0.86,0.857
8,product,0.0,pi,3.141593,0.5,256,800,4,0.8538,0.8538,0.8575,0.8548
8,product,0.0,pi,3.141593,1.0,256,800,4,0.8538,0.8538,0.8575,0.8548
8,product,0.0,pi,3.141593,2.0,256,800,4,0.8538,0.8538,0.8575,0.8548
8,product,0.0,pi,3.141593,5.0,256,800,4,0.8512,0.8496,0.8575,0.8526
8,product,0.0,pi,3.141593,10.0,256,800,4,0.85,0.8491,0.855,0.851
8,entangled_pi_over_2,1.570796,pi,3.141593,0.1,256,800,4,0.8562,0.853,0.865,0.8578
8,entangled_pi_over_2,1.570796,pi,3.141593,0.5,256,800,4,0.8538,0.8538,0.8575,0.8548
8,entangled_pi_over_2,1.570796,pi,3.141593,1.0,256,800,4,0.8538,0.8538,0.8575,0.8548
8,entangled_pi_over_2,1.570796,pi,3.141593,2.0,256,800,4,0.855,0.8502,0.865,0.8569
8,entangled_pi_over_2,1.570796,pi,3.141593,5.0,256,800,4,0.85,0.8472,0.8575,0.8515
8,entangled_pi_over_2,1.570796,pi,3.141593,10.0,256,800,4,0.8487,0.847,0.855,0.85
8,entangled_pi,3.141593,pi,3.141593,0.1,256,800,4,0.8538,0.8515,0.86,0.8552
8,entangled_pi,3.141593,pi,3.141593,0.5,256,800,4,0.8562,0.8527,0.865,0.858
8,entangled_pi,3.141593,pi,3.141593,1.0,256,800,4,0.8575,0.8531,0.8675,0.8594
8,entangled_pi,3.141593,pi,3.141593,2.0,256,800,4,0.8538,0.8482,0.865,0.8558
8,entangled_pi,3.141593,pi,3.141593,5.0,256,800,4,0.85,0.8473,0.8575,0.8514
8,entangled_pi,3.141593,pi,3.141593,10.0,256,800,4,0.8438,0.8458,0.845,0.8441
8,product,0.0,two_pi,6.283185,0.1,256,800,4,0.8125,0.8703,0.74,0.7973
8,product,0.0,two_pi,6.283185,0.5,256,800,4,0.845,0.8503,0.8425,0.8448
8,product,0.0,two_pi,6.283185,1.0,256,800,4,0.845,0.8486,0.845,0.8451
8,product,0.0,two_pi,6.283185,2.0,256,800,4,0.8475,0.8532,0.845,0.8473
8,product,0.0,two_pi,6.283185,5.0,256,800,4,0.8438,0.85,0.84,0.8432
8,product,0.0,two_pi,6.283185,10.0,256,800,4,0.8438,0.8536,0.835,0.8422
8,entangled_pi_over_2,1.570796,two_pi,6.283185,0.1,256,800,4,0.8125,0.8703,0.74,0.7973
8,entangled_pi_over_2,1.570796,two_pi,6.283185,0.5,256,800,4,0.8425,0.8506,0.8375,0.842
8,entangled_pi_over_2,1.570796,two_pi,6.283185,1.0,256,800,4,0.8425,0.8464,0.8425,0.8426
8,entangled_pi_over_2,1.570796,two_pi,6.283185,2.0,256,800,4,0.845,0.8508,0.8425,0.8448
8,entangled_pi_over_2,1.570796,two_pi,6.283185,5.0,256,800,4,0.8438,0.8507,0.84,0.8434
8,entangled_pi_over_2,1.570796,two_pi,6.283185,10.0,256,800,4,0.8438,0.8536,0.835,0.8422
8,entangled_pi,3.141593,two_pi,6.283185,0.1,256,800,4,0.8088,0.8584,0.745,0.7949
8,entangled_pi,3.141593,two_pi,6.283185,0.5,256,800,4,0.84,0.8508,0.83,0.8387
8,entangled_pi,3.141593,two_pi,6.283185,1.0,256,800,4,0.8425,0.8492,0.8375,0.8417
8,entangled_pi,3.141593,two_pi,6.283185,2.0,256,800,4,0.8388,0.8467,0.8325,0.8377
8,entangled_pi,3.141593,two_pi,6.283185,5.0,256,800,4,0.8388,0.851,0.8275,0.8368
8,entangled_pi,3.141593,two_pi,6.283185,10.0,256,800,4,0.8388,0.8545,0.8225,0.836
